pitchId,game_id,homeScore,awayScore,strike,ball,out,base1,base2,base3,pitcher,picher_name,batter,batter_name,pitch_num,x,y,topSz,bottomSz,stance,result,stuff,speed,pitch_type,inning,umpire,umpire_id
231012_193719,20231012LTHT02023,0,3,2,1,0,3,2,0,51526,우강훈,52630,소크라테스,4,-1.692490916049299,2.324182955367521,3.68561,1.77725,L,Foul,Change-up,128,RO,3,정종수,28
231012_193747,20231012LTHT02023,0,3,2,1,0,3,2,0,51526,우강훈,52630,소크라테스,5,-0.338457113468227,3.48269296798256,3.68561,1.77725,L,Foul,4-Seam,148,RO,3,정종수,28
231012_193819,20231012LTHT02023,0,3,2,1,0,3,2,0,51526,우강훈,52630,소크라테스,6,0.2281870271263353,2.4076920534020445,3.68561,1.77725,L,Hit,4-Seam,147,RO,3,정종수,28
231012_193412,20231012LTHT02023,0,3,1,0,0,2,0,0,51526,우강훈,78603,김선빈,1,-0.1123655406967163,2.6752834663171066,3.17062,1.41283,R,BuntFoul,4-Seam,144,RO,3,정종수,28
231012_193446,20231012LTHT02023,0,3,1,1,0,2,0,0,51526,우강훈,78603,김선빈,2,2.274699507980769,1.5554247260309868,3.17062,1.41283,R,Ball,Curve,119,RO,3,정종수,28
231012_193512,20231012LTHT02023,0,3,1,1,0,2,0,0,51526,우강훈,78603,김선빈,3,-0.0831084322142876,2.310702836520901,3.17062,1.41283,R,Hit,4-Seam,143,RO,3,정종수,28
231012_193232,20231012LTHT02023,0,3,1,0,0,0,0,0,51526,우강훈,61353,고종욱,1,-0.4731427820366591,2.9368723865868405,3.55963,1.65265,L,Foul,4-Seam,140,RO,3,정종수,28
231012_193250,20231012LTHT02023,0,3,1,1,0,0,0,0,51526,우강훈,61353,고종욱,2,-2.365970412783435,2.6235124118419577,3.55963,1.65265,L,Ball,Change-up,124,RO,3,정종수,28
231012_193303,20231012LTHT02023,0,3,1,2,0,0,0,0,51526,우강훈,61353,고종욱,3,-1.0268342295304096,3.405899807918076,3.55963,1.65265,L,Ball,4-Seam,144,RO,3,정종수,28
231012_193320,20231012LTHT02023,0,3,1,2,0,0,0,0,51526,우강훈,61353,고종욱,4,0.3170886476764154,2.7448686063599403,3.55963,1.65265,L,Hit,4-Seam,141,RO,3,정종수,28
231012_192921,20231012LTHT02023,0,3,1,0,2,0,0,0,53665,산체스,52591,윤동희,1,-0.7076676879466588,3.1452883174128363,3.48983,1.5,R,Foul,2-Seam,145,RO,3,정종수,28
231012_192945,20231012LTHT02023,0,3,2,0,2,0,0,0,53665,산체스,52591,윤동희,2,0.409649898478346,3.247896131677706,3.48983,1.5,R,Strike,4-Seam,147,RO,3,정종수,28
231012_193008,20231012LTHT02023,0,3,2,1,2,0,0,0,53665,산체스,52591,윤동희,3,0.6228980077583376,4.210362416858551,3.48983,1.5,R,Ball,4-Seam,148,RO,3,정종수,28
231012_193031,20231012LTHT02023,0,3,2,1,2,0,0,0,53665,산체스,52591,윤동희,4,-1.4488624548647242,3.720595163303575,3.48983,1.5,R,Hit,Cutter,132,RO,3,정종수,28
231012_192758,20231012LTHT02023,0,3,1,0,1,0,0,0,53665,산체스,60523,정훈,1,-0.7280125641025859,2.8890854433265707,3.27206,1.43469,R,Strike,4-Seam,144,RO,3,정종수,28
231012_192817,20231012LTHT02023,0,3,1,1,1,0,0,0,53665,산체스,60523,정훈,2,0.3358659602326287,0.8286679646170114,3.27206,1.43469,R,Ball,Curve,125,RO,3,정종수,28
231012_192840,20231012LTHT02023,0,3,1,1,1,0,0,0,53665,산체스,60523,정훈,3,0.2832513879726362,2.3713423743487065,3.27206,1.43469,R,Hit,Curve,123,RO,3,정종수,28
231012_192636,20231012LTHT02023,0,3,1,0,0,0,0,0,53665,산체스,78513,전준우,1,-0.1035412907887244,2.9126211081481466,3.56093,1.63324,R,Strike,4-Seam,142,RO,3,정종수,28
231012_192654,20231012LTHT02023,0,3,1,1,0,0,0,0,53665,산체스,78513,전준우,2,0.8983458052252922,1.593696453899585,3.56093,1.63324,R,Ball,4-Seam,146,RO,3,정종수,28
231012_192712,20231012LTHT02023,0,3,1,1,0,0,0,0,53665,산체스,78513,전준우,3,0.7036074005571082,1.9870251727055763,3.56093,1.63324,R,Hit,Slider,124,RO,3,정종수,28
231012_201956,20231012LTHT02023,5,4,1,0,1,4,2,0,60140,신정락,63260,이우성,1,0.381889762485174,2.809913354727416,3.43557,1.43884,R,Swing,Curve,122,RU,4,정종수,28
231012_202020,20231012LTHT02023,5,4,1,1,1,4,2,0,60140,신정락,63260,이우성,2,1.381491822581118,2.051536710283913,3.43557,1.43884,R,Ball,4-Seam,140,RU,4,정종수,28
231012_202041,20231012LTHT02023,5,4,1,1,1,4,2,0,60140,신정락,63260,이우성,3,0.1733900848457155,2.464230764729479,3.43557,1.43884,R,Hit,Change-up,121,RU,4,정종수,28
231012_201839,20231012LTHT02023,3,4,1,0,1,2,1,9,60140,신정락,52630,소크라테스,1,-1.0684277814269842,2.069711175783273,3.68561,1.77725,L,Strike,4-Seam,142,RU,4,정종수,28
231012_201857,20231012LTHT02023,3,4,1,0,1,2,1,9,60140,신정락,52630,소크라테스,2,-0.7856936992304226,0.9833128356451906,3.68561,1.77725,L,Hit,Change-up,124,RU,4,정종수,28
231012_201359,20231012LTHT02023,3,4,0,1,0,2,1,9,60140,신정락,78603,김선빈,1,-1.5836377483181268,2.5975902015036545,3.17062,1.41283,R,Ball,Curve,121,RU,4,정종수,28
231012_201419,20231012LTHT02023,3,4,1,1,0,2,1,9,60140,신정락,78603,김선빈,2,0.1485443531547614,3.275029035482996,3.17062,1.41283,R,Strike,4-Seam,139,RU,4,정종수,28
231012_201441,20231012LTHT02023,3,4,2,1,0,2,1,9,60140,신정락,78603,김선빈,3,-0.1043260679196058,2.426718811787223,3.17062,1.41283,R,Foul,Change-up,121,RU,4,정종수,28
231012_201511,20231012LTHT02023,3,4,2,1,0,2,1,9,60140,신정락,78603,김선빈,4,1.2333667085609137,2.1492229409896666,3.17062,1.41283,R,Foul,Curve,122,RU,4,정종수,28
231012_201541,20231012LTHT02023,3,4,2,1,0,2,1,9,60140,신정락,78603,김선빈,5,0.7741460918611356,2.5966862093819776,3.17062,1.41283,R,Foul,4-Seam,140,RU,4,정종수,28
231012_201610,20231012LTHT02023,3,4,2,1,0,2,1,9,60140,신정락,78603,김선빈,6,0.1023562841251715,1.1544765433588493,3.17062,1.41283,R,Foul,Change-up,122,RU,4,정종수,28
231012_201639,20231012LTHT02023,3,4,2,2,0,2,1,9,60140,신정락,78603,김선빈,7,0.6392294618714149,4.352564221831889,3.17062,1.41283,R,Ball,4-Seam,141,RU,4,정종수,28
231012_201719,20231012LTHT02023,3,4,2,3,0,2,1,9,60140,신정락,78603,김선빈,8,2.172911610174107,2.165512025318147,3.17062,1.41283,R,Ball,Curve,123,RU,4,정종수,28
231012_201753,20231012LTHT02023,3,4,3,3,0,2,1,9,60140,신정락,78603,김선빈,9,0.16395085723844,1.71863596859456,3.17062,1.41283,R,Swing,Curve,123,RU,4,정종수,28
231012_200947,20231012LTHT02023,2,4,0,1,0,1,9,8,53594,이태연,61353,고종욱,1,-1.411177631847211,1.630041234056149,3.55963,1.65265,L,Ball,Slider,128,LO,4,정종수,28
231012_201006,20231012LTHT02023,2,4,0,2,0,1,9,8,53594,이태연,61353,고종욱,2,-1.1978282683335904,2.160534723350436,3.55963,1.65265,L,Ball,Slider,128,LO,4,정종수,28
231012_201029,20231012LTHT02023,2,4,0,3,0,1,9,8,53594,이태연,61353,고종욱,3,0.4755069622641171,3.928156529656673,3.55963,1.65265,L,Ball,4-Seam,139,LO,4,정종수,28
231012_201050,20231012LTHT02023,2,4,1,3,0,1,9,8,53594,이태연,61353,고종욱,4,-0.3791044422020518,2.841603943966859,3.55963,1.65265,L,Strike,4-Seam,142,LO,4,정종수,28
231012_201113,20231012LTHT02023,2,4,1,4,0,1,9,8,53594,이태연,61353,고종욱,5,-1.020011551237077,2.6498486868850435,3.55963,1.65265,L,Ball,4-Seam,142,LO,4,정종수,28
231012_200605,20231012LTHT02023,2,4,0,1,0,9,0,8,51526,우강훈,52605,김도영,1,-1.089139034902299,3.1716668690263248,3.48782,1.53266,R,Ball,Curve,117,RO,4,정종수,28
231012_200627,20231012LTHT02023,2,4,0,2,0,9,0,8,51526,우강훈,52605,김도영,2,1.6818361404020856,1.7207616109700687,3.48782,1.53266,R,Ball,Curve,117,RO,4,정종수,28
231012_200650,20231012LTHT02023,2,4,0,3,0,9,0,8,51526,우강훈,52605,김도영,3,1.5226979088588497,2.156747854945541,3.48782,1.53266,R,Ball,4-Seam,141,RO,4,정종수,28
231012_200710,20231012LTHT02023,2,4,0,4,0,9,0,8,51526,우강훈,52605,김도영,4,0.5628276010780597,1.8520612368621825,3.48782,1.53266,R,Ball,4-Seam,145,RO,4,정종수,28
231012_200434,20231012LTHT02023,2,4,0,0,0,8,0,0,51526,우강훈,66614,김규성,1,-0.3815372914086867,2.873963393413955,3.54071,1.68796,L,Hit,4-Seam,138,RO,4,정종수,28
231012_200304,20231012LTHT02023,2,4,1,0,0,0,0,0,51526,우강훈,65653,김호령,1,-0.9054490799854,2.6223365968968126,3.57558,1.53665,R,Foul,4-Seam,144,RO,4,정종수,28
231012_200322,20231012LTHT02023,2,4,1,0,0,0,0,0,51526,우강훈,65653,김호령,2,-0.6657836902175569,2.123159195206993,3.57558,1.53665,R,Hit,4-Seam,143,RO,4,정종수,28
231012_195900,20231012LTHT02023,2,4,1,0,2,0,2,1,63638,박준표,79608,안치홍,1,-1.031914278908376,2.3763876709819938,3.33441,1.43385,R,Swing,2-Seam,139,RU,4,정종수,28
231012_195929,20231012LTHT02023,2,4,1,1,2,0,2,1,63638,박준표,79608,안치홍,2,-0.8496131183614453,0.6916736857183161,3.33441,1.43385,R,Ball,2-Seam,140,RU,4,정종수,28
231012_195959,20231012LTHT02023,2,4,2,1,2,0,2,1,63638,박준표,79608,안치홍,3,-0.7207020875684977,2.228170796336061,3.33441,1.43385,R,Foul,2-Seam,140,RU,4,정종수,28
231012_200038,20231012LTHT02023,2,4,2,2,2,0,2,1,63638,박준표,79608,안치홍,4,2.150326313903638,1.5688341118063156,3.33441,1.43385,R,Ball,Curve,117,RU,4,정종수,28
231012_200105,20231012LTHT02023,2,4,2,2,2,0,2,1,63638,박준표,79608,안치홍,5,-1.0278436161905484,2.068958680663955,3.33441,1.43385,R,Hit,2-Seam,140,RU,4,정종수,28
231012_195441,20231012LTHT02023,2,3,0,1,2,1,9,0,60337,김대유,53554,김민석,1,-1.2538704216583707,2.535553898664879,3.48983,1.5,L,Ball,Slider,128,LO,4,정종수,28
231012_195503,20231012LTHT02023,2,3,1,1,2,1,9,0,60337,김대유,53554,김민석,2,-0.0164308072341435,3.3483814133608645,3.48983,1.5,L,Strike,Curve,119,LO,4,정종수,28
231012_195532,20231012LTHT02023,2,3,2,1,2,1,9,0,60337,김대유,53554,김민석,3,-0.9220589636085852,1.8422730952987312,3.48983,1.5,L,Swing,Curve,121,LO,4,정종수,28
