pcode,name,birth,age,height,weight,pitch_type,team
67449,김성윤,19990202,25,163.0,62.0,LO,삼성
61404,김헌곤,19881109,35,174.0,81.0,RO,삼성
62404,구자욱,19930212,31,189.0,75.0,RO,삼성
54424,맥키넌,19941215,29,188.0,101.0,RO,삼성
74540,강민호,19850818,38,185.0,100.0,RO,삼성
51417,김현준,20021011,21,178.0,78.0,LO,삼성
52424,김재혁,19991226,24,182.0,85.0,RO,삼성
75334,오재일,19861029,37,187.0,95.0,LO,삼성
62234,류지혁,19940113,30,181.0,75.0,RO,삼성
64610,강한울,19910912,32,181.0,66.0,RO,삼성
65586,전병우,19921024,31,182.0,93.0,RO,삼성
52430,김영웅,20030824,20,183.0,81.0,RO,삼성
54452,코너,19960124,28,188.0,95.0,RO,삼성
78352,임창민,19850825,38,183.0,94.0,RO,삼성
65062,김재윤,19900916,33,185.0,91.0,RO,삼성
75421,오승환,19820715,41,178.0,93.0,RO,삼성
64646,박찬호,19950605,28,178.0,72.0,RO,KIA
52605,김도영,20031002,20,183.0,85.0,RO,KIA
52630,소크라테스,19920906,31,188.0,93.0,LO,KIA
64560,이창진,19910304,33,173.0,85.0,RO,KIA
72443,최형우,19831216,40,180.0,106.0,RO,KIA
78603,김선빈,19891218,34,165.0,77.0,RO,KIA
63260,이우성,19940717,29,182.0,95.0,RO,KIA
63722,한승택,19940621,29,174.0,83.0,RO,KIA
65610,황대인,19960210,28,178.0,100.0,RO,KIA
65653,김호령,19920430,32,178.0,85.0,RO,KIA
78122,김태군,19891230,34,182.0,92.0,RO,KIA
66606,최원준,19970323,27,178.0,85.0,RO,KIA
54612,크로우,19940909,29,185.0,108.0,RO,KIA
53609,곽도규,20040412,20,185.0,90.0,LO,KIA
66609,전상현,19960418,28,182.0,84.0,RO,KIA
52639,최지민,20030910,20,185.0,100.0,LO,KIA
50662,정해영,20010823,22,189.0,98.0,RO,KIA
67304,김혜성,19990127,25,179.0,80.0,RO,키움
53327,도슨,19950519,29,183.0,100.0,RO,키움
64340,임지열,19950822,28,180.0,94.0,RO,키움
76267,최주환,19880228,36,177.0,73.0,RO,키움
51344,김휘집,20020101,22,180.0,92.0,RO,키움
53344,김동헌,20040715,19,182.0,91.0,RO,키움
65357,송성문,19960829,27,183.0,88.0,RO,키움
78135,이형종,19890607,34,183.0,87.0,RO,키움
69332,주성원,20000830,23,182.0,95.0,RO,키움
54344,고영우,20010621,22,173.0,80.0,RO,키움
68305,변상권,19970404,27,180.0,80.0,RO,키움
54305,이재상,20050417,19,183.0,85.0,RO,키움
53375,후라도,19960130,28,187.0,109.0,RO,키움
54363,손현기,20051022,18,188.0,88.0,LO,키움
54362,전준표,20050507,19,186.0,90.0,RO,키움
54368,김연주,20040227,20,175.0,75.0,RO,키움
54166,김현종,20040804,19,186.0,85.0,RO,LG
61101,임찬규,19921120,31,185.0,80.0,RO,LG
65109,백승현,19950526,29,183.0,90.0,RO,LG
50106,유영찬,19970307,27,185.0,90.0,RO,LG
64596,김유영,19940502,30,180.0,83.0,LO,LG
68700,이원석,19990331,25,177.0,69.0,RO,한화
50707,최인호,20000130,24,178.0,82.0,RO,한화
65703,이도윤,19961007,27,175.0,79.0,RO,한화
76812,이재원,19880224,36,185.0,98.0,RO,한화
50704,임종찬,20010928,22,184.0,85.0,RO,한화
52720,페냐,19900125,34,188.0,99.0,RO,한화
65769,김범수,19951003,28,181.0,92.0,LO,한화
65707,주현상,19920810,31,177.0,92.0,RO,한화
67703,박상원,19940909,29,187.0,98.0,RO,한화
54805,박지환,20050712,18,183.0,75.0,RO,SSG
51868,고명준,20020708,21,185.0,94.0,RO,SSG
66864,안상현,19970127,27,178.0,74.0,RO,SSG
69802,최경모,19960617,27,168.0,73.0,RO,SSG
51865,조형우,20020404,22,187.0,95.0,RO,SSG
53825,엘리아스,19880801,35,185.0,92.0,LO,SSG
53892,이로운,20040911,19,185.0,105.0,RO,SSG
68507,장두성,19990916,24,176.0,75.0,RO,롯데
62884,최항,19940103,30,183.0,88.0,RO,롯데
51560,이주찬,19980921,25,181.0,86.0,RO,롯데
68518,정보근,19990831,24,175.0,94.0,RO,롯데
60523,정훈,19870718,36,180.0,85.0,RO,롯데
64021,박세웅,19951130,28,182.0,85.0,RO,롯데
63543,구승민,19900612,33,182.0,86.0,RO,롯데
69594,박진,19990402,25,182.0,106.0,RO,롯데
51526,우강훈,20021003,21,183.0,88.0,RO,롯데
54561,전미르,20050815,18,187.0,100.0,RO,롯데
62528,김원중,19930614,30,192.0,96.0,RO,롯데
69992,최정원,20000624,23,176.0,70.0,RO,NC
62244,박세혁,19900109,34,181.0,86.0,RO,NC
68902,신민혁,19990204,25,184.0,95.0,RO,NC
51994,한재승,20011121,22,180.0,90.0,RO,NC
66068,서의태,19970905,26,194.0,115.0,LO,NC
53996,이준호,20000327,24,181.0,85.0,RO,NC
64580,김재열,19960102,28,183.0,97.0,RO,NC
66209,조수행,19930830,30,178.0,73.0,RO,두산
65269,김민혁,19960503,28,188.0,100.0,RO,두산
63257,김인태,19940703,29,178.0,78.0,LO,두산
52257,브랜든,19940603,29,190.0,81.0,LO,두산
52206,최지강,20010723,22,180.0,88.0,RO,두산
52204,이병헌,20030604,20,183.0,95.0,LO,두산
65639,박정수,19960129,28,178.0,74.0,RU,두산
64007,문상철,19910406,33,184.0,85.0,RO,KT
62558,김준태,19940731,29,175.0,91.0,RO,KT
62556,신본기,19890321,35,179.0,88.0,RO,KT
65056,엄상백,19961004,27,187.0,72.0,RU,KT
65048,김민수,19920724,31,188.0,80.0,RO,KT
50109,성재헌,19971222,26,175.0,82.0,LO,KT
51097,김영현,20020818,21,178.0,81.0,RO,KT
66409,이성규,19930803,30,178.0,82.0,RO,삼성
65132,김재성,19961030,27,185.0,85.0,RO,삼성
66406,안주형,19930814,30,176.0,68.0,RO,삼성
54443,레예스,19961102,27,198.0,113.0,RO,삼성
62360,김태훈,19920302,32,187.0,101.0,RO,삼성
63492,이재익,19940318,30,180.0,76.0,LO,삼성
77927,장필준,19880408,36,190.0,90.0,RO,삼성
61365,김대우,19881121,35,183.0,85.0,RU,삼성
54804,더거,19950703,28,183.0,83.0,RO,SSG
68092,한두솔,19970115,27,177.0,86.0,LO,SSG
68856,최민준,19990611,24,178.0,83.0,RO,SSG
51897,조병현,20020508,22,182.0,90.0,RO,SSG
65764,김민우,19950725,28,186.0,123.0,RO,한화
78168,서건창,19890822,34,176.0,84.0,RO,KIA
77637,양현종,19880301,36,183.0,91.0,LO,KIA
