,gameId,umpire
197,20210526HHOB02021,강광회
198,20210526LGLT02021,박근영
199,20210526SKKT02021,추평호
200,20210526SSNC02021,최수원
201,20210526WOHT02021,정종수
202,20210527HHOB02021,이용혁
203,20210527LGLT02021,문승훈
204,20210527SKKT02021,전일수
205,20210527SSNC02021,김익수
206,20210527WOHT02021,박기택
207,20210528KTHT02021,이민호
208,20210528OBSS02021,김선수
209,20210528SKHH02021,송수근
210,20210528WOLG02021,우효동
211,20210529KTHT02021,최영주
212,20210529NCLT12021,윤태수
213,20210529NCLT22021,오훈규
214,20210529OBSS02021,김정국
215,20210529SKHH02021,김병주
216,20210529WOLG02021,김성철
217,20210530KTHT02021,김준희
218,20210530NCLT02021,김태완
219,20210530OBSS02021,나광남
220,20210530SKHH02021,윤상원
221,20210530WOLG02021,배병두
222,20210601HTHH02021,최수원
223,20210601KTLG02021,정종수
224,20210601LTWO02021,권영철
225,20210601OBNC02021,박근영
226,20210601SSSK02021,박종철
227,20210602HTHH02021,김익수
228,20210602KTLG02021,박기택
229,20210602LTWO02021,강광회
230,20210602OBNC02021,김갑수
231,20210602SSSK02021,구명환
232,20210603LTWO02021,이용혁
233,20210604HHNC02021,이민호
234,20210604LGHT02021,이영재
235,20210604LTKT02021,우효동
236,20210604SKOB02021,윤태수
237,20210604SSWO02021,문승훈
238,20210605HHNC02021,김준희
239,20210605LGHT02021,이기중
240,20210605LTKT02021,유덕형
241,20210605SKOB02021,오훈규
242,20210605SSWO02021,송수근
243,20210606HHNC02021,권영철
244,20210606LGHT02021,문동균
245,20210606LTKT02021,김성철
246,20210606SKOB02021,김태완
247,20210606SSWO02021,김병주
248,20210608HTSS02021,배병두
249,20210608KTSK02021,차정구
250,20210608NCLG02021,윤상원
251,20210608WOHH02021,정종수
252,20210609HTSS02021,최수원
253,20210609KTSK02021,추평호
254,20210609NCLG02021,박근영
255,20210609WOHH02021,박기택
256,20210610HTSS02021,김익수
257,20210610NCLG02021,김갑수
258,20210610WOHH02021,윤태수
259,20210611HHKT02021,문승훈
260,20210611NCSS02021,오훈규
261,20210611WOSK02021,이기중
262,20210612HHKT02021,송수근
263,20210612NCSS02021,김태완
264,20210612WOSK02021,문동균
265,20210613HHKT02021,김병주
266,20210613HTLT12021,전일수
267,20210613HTLT22021,김정국
268,20210613NCSS02021,정종수
269,20210613WOSK02021,박종철
270,20210615LGWO02021,나광남
271,20210615LTHH02021,이용혁
272,20210615SSOB02021,윤상원
273,20210616KTNC02021,구명환
274,20210616LGWO02021,차정구
275,20210616LTHH12021,유덕형
276,20210616LTHH22021,김준희
277,20210616SKHT12021,박기택
278,20210616SKHT22021,윤태수
279,20210616SSOB02021,박근영
280,20210617KTNC02021,이영재
281,20210617LGWO02021,전일수
282,20210617LTHH02021,이민호
283,20210617SKHT02021,최영주
284,20210617SSOB02021,문승훈
285,20210618HTLG02021,송수근
286,20210618OBKT02021,오훈규
287,20210618SKHH02021,김정국
288,20210619HTLG02021,김병주
289,20210619OBKT12021,김태완
290,20210619OBKT22021,정종수
291,20210619SKHH02021,추평호
292,20210619SSLT02021,문동균
293,20210619WONC02021,이용혁
294,20210620HTLG02021,윤상원
295,20210620OBKT02021,박기택
296,20210620SKHH02021,나광남
297,20210620SSLT02021,김선수
298,20210620WONC02021,김준희
299,20210622HHSS02021,강광회
300,20210622HTKT02021,차정구
301,20210622LGSK02021,배병두
302,20210622NCLT02021,윤태수
303,20210622WOOB02021,박종철
304,20210623HHSS02021,이민호
305,20210623HTKT02021,전일수
306,20210623LGSK02021,최수원
307,20210623NCLT02021,오훈규
308,20210623WOOB02021,구명환
