pitchId,game_id,homeScore,awayScore,strike,ball,out,base1,base2,base3,pitcher,picher_name,batter,batter_name,pitch_num,x,y,topSz,bottomSz,stance,result,stuff,speed,pitch_type,inning,umpire,umpire_id
211025_204955,20211025LTLG02021,4,3,3,2,1,0,0,9,65109,백승현,69508,신윤후,6,0.8315747255245172,2.0473498920192608,3.375,1.5,R,Strike,4-Seam,150,RO,7,장준영,22
211025_204036,20211025LTLG02021,4,3,0,1,0,9,0,0,65109,백승현,50506,마차도,1,0.9797115890232516,2.3469371227872164,3.375,1.5,R,Ball,4-Seam,147,RO,7,장준영,22
211025_204058,20211025LTLG02021,4,3,0,2,0,9,0,0,65109,백승현,50506,마차도,2,2.1003736250162826,1.0637159368988325,3.375,1.5,R,Ball,Slider,134,RO,7,장준영,22
211025_204131,20211025LTLG02021,4,3,0,3,0,9,0,0,65109,백승현,50506,마차도,3,0.7770801842932162,3.905183510782533,3.375,1.5,R,Ball,4-Seam,146,RO,7,장준영,22
211025_204154,20211025LTLG02021,4,3,1,3,0,9,0,0,65109,백승현,50506,마차도,4,-0.3948531966075954,2.93405686364134,3.375,1.5,R,Strike,4-Seam,149,RO,7,장준영,22
211025_204241,20211025LTLG02021,4,3,1,3,0,9,0,0,65109,백승현,50506,마차도,5,-0.7900940453522578,2.357809994232932,3.375,1.5,R,Hit,4-Seam,147,RO,7,장준영,22
211025_215024,20211025LTLG02021,4,4,0,1,1,0,6,0,63543,구승민,61102,유강남,1,0.2006694886719333,0.6088493316357249,3.26431,1.58024,R,Ball,Fork,132,RO,9,장준영,22
211025_215121,20211025LTLG02021,4,4,0,2,1,0,6,0,63543,구승민,61102,유강남,2,0.0562781058231864,1.6094634159161585,3.26431,1.58024,R,Ball,Fork,130,RO,9,장준영,22
211025_215208,20211025LTLG02021,4,4,0,3,1,0,6,0,63543,구승민,61102,유강남,3,1.1655650469385266,3.05676043613108,3.26431,1.58024,R,Ball,4-Seam,147,RO,9,장준영,22
211025_215238,20211025LTLG02021,4,4,1,3,1,0,6,0,63543,구승민,61102,유강남,4,0.4922598966370681,2.9414004891993804,3.26431,1.58024,R,Strike,4-Seam,145,RO,9,장준영,22
211025_215308,20211025LTLG02021,4,4,2,3,1,0,6,0,63543,구승민,61102,유강남,5,0.4698542859518997,1.4379234728947885,3.26431,1.58024,R,Swing,Fork,131,RO,9,장준영,22
211025_215403,20211025LTLG02021,4,4,3,3,1,0,6,0,63543,구승민,61102,유강남,6,0.2650012218017029,1.7147191297606257,3.26431,1.58024,R,Strike,4-Seam,146,RO,9,장준영,22
211025_214548,20211025LTLG02021,4,4,1,0,0,0,0,0,63543,구승민,68119,문성주,1,-0.1139707915420453,2.3596921549463667,3.25435,1.64105,L,Swing,Fork,130,RO,9,장준영,22
211025_214606,20211025LTLG02021,4,4,2,0,0,0,0,0,63543,구승민,68119,문성주,2,-0.7598186005176824,1.9447211132924007,3.25435,1.64105,L,Swing,Fork,133,RO,9,장준영,22
211025_214625,20211025LTLG02021,4,4,2,0,0,0,0,0,63543,구승민,68119,문성주,3,-1.019775975122715,2.056333132006392,3.25435,1.64105,L,Hit,Fork,133,RO,9,장준영,22
211025_214302,20211025LTLG02021,4,4,1,0,2,0,0,0,69134,이정용,71564,이대호,1,0.6347832023814011,1.8227274109256504,3.40735,1.63014,R,Strike,4-Seam,146,RO,9,장준영,22
211025_214317,20211025LTLG02021,4,4,2,0,2,0,0,0,69134,이정용,71564,이대호,2,-0.6943966486458459,2.64036952360808,3.40735,1.63014,R,Swing,Curve,121,RO,9,장준영,22
211025_214336,20211025LTLG02021,4,4,3,0,2,0,0,0,69134,이정용,71564,이대호,3,0.5863524119530655,3.824188470803036,3.40735,1.63014,R,Swing,4-Seam,144,RO,9,장준영,22
211025_214103,20211025LTLG02021,4,4,0,1,1,0,0,0,69134,이정용,69508,신윤후,1,1.1223239801512053,2.011589041068319,3.375,1.5,R,Ball,Slider,131,RO,9,장준영,22
211025_214117,20211025LTLG02021,4,4,1,1,1,0,0,0,69134,이정용,69508,신윤후,2,0.8928453476249328,2.114596408467575,3.375,1.5,R,Strike,Slider,132,RO,9,장준영,22
211025_214132,20211025LTLG02021,4,4,2,1,1,0,0,0,69134,이정용,69508,신윤후,3,0.3864052513199221,2.700707565619308,3.375,1.5,R,Foul,4-Seam,144,RO,9,장준영,22
211025_214155,20211025LTLG02021,4,4,2,1,1,0,0,0,69134,이정용,69508,신윤후,4,-0.3000332086511016,3.3887265105430044,3.375,1.5,R,Hit,Slider,131,RO,9,장준영,22
211025_214023,20211025LTLG02021,4,4,0,0,0,0,0,0,69134,이정용,50506,마차도,1,0.2143787687987404,3.2607588989910905,3.375,1.5,R,Hit,4-Seam,143,RO,9,장준영,22
211025_213727,20211025LTLG02021,4,4,1,0,2,0,2,1,50556,최준용,79109,오지환,1,0.185471529827618,3.098157142169572,3.3138,1.46526,L,Foul,4-Seam,149,RO,8,장준영,22
211025_213759,20211025LTLG02021,4,4,1,0,2,0,2,1,50556,최준용,79109,오지환,2,-0.0302023980107639,1.6088009112977844,3.3138,1.46526,L,Hit,Change-up,133,RO,8,장준영,22
211025_212934,20211025LTLG02021,4,4,0,1,1,2,1,0,50556,최준용,79192,채은성,1,0.3478637315673978,0.1876425133179573,3.42605,1.75898,R,Ball,Slider,135,RO,8,장준영,22
211025_213009,20211025LTLG02021,4,4,1,1,1,2,1,0,50556,최준용,79192,채은성,2,0.1833311461043137,3.493448687193215,3.42605,1.75898,R,Foul,4-Seam,145,RO,8,장준영,22
211025_213047,20211025LTLG02021,4,4,2,1,1,2,1,0,50556,최준용,79192,채은성,3,-0.4017798419485269,2.2979380779787166,3.42605,1.75898,R,Foul,Slider,134,RO,8,장준영,22
211025_213153,20211025LTLG02021,4,4,2,1,1,2,1,0,50556,최준용,79192,채은성,4,1.0479770405739706,1.9482564014084536,3.42605,1.75898,R,Foul,4-Seam,147,RO,8,장준영,22
211025_213232,20211025LTLG02021,4,4,2,1,1,2,1,0,50556,최준용,79192,채은성,5,-0.1859650718809735,0.718639801314689,3.42605,1.75898,R,Foul,4-Seam,149,RO,8,장준영,22
211025_213333,20211025LTLG02021,4,4,2,1,1,2,1,0,50556,최준용,79192,채은성,6,-0.2180728889175638,1.234160263218351,3.42605,1.75898,R,Foul,Slider,138,RO,8,장준영,22
211025_213432,20211025LTLG02021,4,4,2,1,1,2,1,0,50556,최준용,79192,채은성,7,-0.7612597781429853,3.50023075096386,3.42605,1.75898,R,Foul,4-Seam,146,RO,8,장준영,22
