year,ump_id,name,pitches,alpha,alpha_ci_lower,alpha_ci_upper,beta,beta_ci_lower,beta_ci_upper,lambda,lambda_ci_lower,lambda_ci_upper,r,r_ci_lower,r_ci_upper,x0,x0_ci_lower,x0_ci_upper,y0,y0_ci_lower,y0_ci_upper
2023,5,¼Û¼ö±Ù,5990,0.9075986300485592,0.8835599502727404,0.9316373098243781,12.533572454303712,11.394730403110191,13.672414505497233,1.0217341623917537,0.9875938170372924,1.055874507746215,2.9850483836680404,2.5107299725079733,3.4593667948281075,0.03419362805390487,0.016355412467157653,0.05203184364065209,2.4768285427685828,2.457925693552321,2.4957313919848447
2023,17,¹Ú±Ù¿µ,7026,0.8895166520390563,0.8672171007622088,0.9118162033159037,12.985113076723106,11.896133132351089,14.074093021095123,1.1312243113120357,1.0965996797996367,1.1658489428244347,3.2075732077623376,2.6922685790496903,3.722877836474985,-0.01936902780487131,-0.035708025664789284,-0.0030300299449533344,2.5129985117460674,2.4945022784097204,2.5314947450824143
2023,24,Â÷Á¤±¸,5504,0.8484041043149173,0.8278243868417768,0.8689838217880578,14.51931670553487,13.096475239016245,15.942158172053494,1.1770300708272718,1.1393994369908793,1.2146607046636644,4.0491915178624005,3.140057313781292,4.958325721943509,0.04920542770293934,0.03246119253377956,0.06594966287209912,2.5129440545334933,2.4921184915376426,2.533769617529344
2023,13,±Ç¿µÃ¶,5989,0.9079932020642605,0.8827834020206317,0.9332030021078893,11.696984548193138,10.621311674775946,12.77265742161033,1.057397426813993,1.0209206078709747,1.0938742457570112,3.2663231948239932,2.6648179970733112,3.8678283925746753,-0.06684757643759495,-0.08575790986664433,-0.04793724300854557,2.5243017463416573,2.5036945946746334,2.544908898008681
2023,0,¹Ú±âÅÃ,6528,0.9056231483861317,0.8845196367153625,0.9267266600569009,13.5147816798202,12.319010986078755,14.710552373561644,1.084674365527708,1.0521789375766835,1.1171697934787326,3.34564648857208,2.826696866049931,3.864596111094229,0.03134803586022679,0.015136371287853802,0.04755970043259977,2.5290102295298276,2.510923295665079,2.547097163394576
2023,2,ÀüÀÏ¼ö,7561,0.8805770984956338,0.862617625776012,0.8985365712152557,13.896646610342405,12.756957006590934,15.036336214093875,1.142976282467501,1.1118714051784024,1.1740811597565994,4.180174630495962,3.3919824745610834,4.968366786430841,-0.007757034454511549,-0.02218453004289942,0.0066704611338763205,2.5033541288876973,2.4856604774020767,2.521047780373318
2023,19,ÀÌ¿ëÇõ,5754,0.8728655178789728,0.8498865166839489,0.8958445190739968,14.04732185050904,12.718263488664856,15.376380212353222,1.1453946731467708,1.1066457956334839,1.1841435506600577,3.0193157407840605,2.5478830363326943,3.4907484452354267,-0.0029987110610322143,-0.019837353827241354,0.013839931705176924,2.5029990741468344,2.4825855921639226,2.5234125561297462
2023,28,Á¤Á¾¼ö,6146,0.8922973998422966,0.8702579688769766,0.9143368308076166,13.33074789481029,12.136405576401328,14.525090213219253,1.0868923470557514,1.0517440845224393,1.1220406095890636,3.2251594120451816,2.706983774774349,3.7433350493160145,0.006628285832331367,-0.010109930229934266,0.023366501894597002,2.517324513723735,2.4978837584599844,2.5367652689874856
2023,1,¹ÚÁ¾Ã¶,7063,0.8971996016795005,0.8751397752104759,0.9192594281485251,13.051158321638056,11.940450253529868,14.161866389746244,1.0924939951051766,1.0587803893215182,1.126207600888835,3.2232739793881695,2.7155484960840583,3.7309994626922807,-0.027823705232005058,-0.04426871461816473,-0.011378695845845384,2.5156838545098683,2.497389583444176,2.5339781255755605
2023,23,À¯´öÇü,5912,0.9164911002772953,0.8945161292067448,0.9384660713478458,15.437689345563605,13.925314142643229,16.950064548483983,1.0890376211477137,1.05563538551337,1.1224398567820575,3.219755895541021,2.715512741225725,3.723999049856317,-0.004461703959018429,-0.020648516402418684,0.011725108484381828,2.5033036337544115,2.484666286881961,2.521940980626862
2023,7,À±ÅÂ¼ö,5562,0.8862198687035676,0.8632422020196837,0.9091975353874515,12.944804297380717,11.74709572510779,14.142512869653643,1.088480643250227,1.0520558886259164,1.1249053978745376,3.950859643825008,3.082313334252249,4.819405953397767,0.009156224571323996,-0.00912040630750829,0.027432855450156283,2.5273514710578247,2.5067674582172548,2.5479354838983945
2023,12,±èÁ¤±¹,5903,0.9359351443462813,0.9113058438496229,0.9605644448429398,12.839863040554096,11.6642419583832,14.015484122724992,1.0249808270305705,0.9920420647159861,1.057919589345155,3.2652888051294235,2.717808618336534,3.812768991922313,0.008108834135342607,-0.009979004897212058,0.026196673167897273,2.5108395586792085,2.4925893737772826,2.5290897435811344
2023,26,ÀÌ¿µÀç,5884,0.8848897738292806,0.8631147568893905,0.9066647907691706,14.188781587428512,12.862289466448543,15.51527370840848,1.0661713060314981,1.0329049076239913,1.099437704439005,3.1447878045031943,2.657381440765232,3.6321941682411567,0.04486390636109236,0.028825119137101795,0.06090269358508292,2.5308557076673552,2.512851199488413,2.5488602158462976
2023,11,¹èº´µÎ,6269,0.904940674646092,0.8831384392770306,0.9267429100151533,13.62129244212677,12.417038253300717,14.825546630952822,1.062330264530491,1.0301803300652466,1.0944801989957356,3.7434214819989116,3.0306394157881114,4.456203548209712,0.005126242778825018,-0.011770239174540537,0.022022724732190573,2.519913513762241,2.501579856453311,2.538247171071171
